Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
LE BOURLINGUEUR;Restaurant;Pizzeria;;153 avenue de Mazy;;44380;;;PORNICHET;44132;47.26947;-2.34339;;06 24 60 54 40;02 40 15 58 36;;lebourlingueurpornichet@yahoo.fr;;;;;;;;;oui;;;WiFi;50;;;;;;Anglais;oui;;50;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.26947, -2.34339;Loire-Atlantique
LE CAFÉ DE L'UNION;Restaurant;Bistrot / bar à vin;;10 rue Aristide Briand;;44360;;;SAINT-ETIENNE-DE-MONTLUC;44158;47.2748398;-1.7841805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2748398, -1.7841805;Loire-Atlantique
LE CAFÉ DES ÉCAILLES;Restaurant;Brasserie;;35 boulevard de l'Océan;;44500;;;LA BAULE-ESCOUBLAC;44055;47.27827;-2.37125;;;02 40 60 14 75;;resa@lecafedesecailles.com;http://lecafedesecailles.com/index.htm;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||;;;;;Cartes bancaires,Espèces;47.27827, -2.37125;Loire-Atlantique
LE CENTR'HALLES CAFE;Restaurant;Brasserie;;3 Place Saint-Jacques;;44190;;;CLISSON;44043;47.08807;-1.28326;;;02 40 54 01 83;;centrhall@orange.fr;https://www.facebook.com/profile.php?id=100054216262327;;;;;;;;oui;;;Service en terrasse,WiFi;25;2;50;;;;Anglais,Français;oui;;;oui;||||||||||||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||||08:30||18:00||||;||02 40 54 01 83||centrhall@orange.fr;;;"Plats à la carte||6,00||17,00|| ; Menu enfant||8,00||||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.08807, -1.28326;Loire-Atlantique
LE CENTRAL CAFÉ;Restaurant;Brasserie;1, rue de Nantes;;;44260;;;SAVENAY;44195;47.3600475;-1.9430627;;;02 40 69 34 46;;thierrydore@gmail.com;;;;;;;;;oui;;;Service en terrasse;25;;8;;;;;oui;;;;||||du lundi au samedi, le midi||3 semaines en août et 1 semaine fin d'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 58 32 09||;;;;Cartes bancaires,Tickets Restaurant;47.3600475, -1.9430627;Loire-Atlantique
LE CENTRE;Restaurant;Cuisine du Monde;;2 rue du Commandant Charcot;Saint-Marc sur Mer;44600;;;SAINT-NAZAIRE;44184;47.2384957;-2.2806017;"Transport en commun||Ligne U3 - Arrêt: Saint-Marc Mairie||0,1 ; Transport en commun||Ligne U2 - Arrêt: Dumont d'Urville||0,28 ; Bord de mer||Plage de Mr Hulot||0,17";06 48 51 58 52;02 40 91 90 22;;;http://cafeconcert-lecentre.fr/;;"Facebook||https://www.facebook.com/Cafe-Concert-Le-Centre-429969360378570/ ; Google+||https://plus.google.com/117893283484387731106 ; Twitter||https://twitter.com/CafeLeCentre";;;Guide du Routard Pays de la Loire,Le petit futé;;;oui;;;Plats à emporter / Covid-19,Séminaire,Service en terrasse,WiFi;100;;89;;;;Anglais,Espagnol,Français,Néerlandais;oui;;12;oui;02/01/2023||31/12/2023||Ouvert du lundi au dimanche (pas de restauration le dimanche°||Ouvert le dimanche mais pas de restauration ||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||;||02 40 91 90 22||;;;"Menu adulte soir et week-end||15,50|||| ; Menu adulte du jour (midi en semaine)||11,50|||| ; Menu enfant||6,00||8,50||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.2384957, -2.2806017;Loire-Atlantique
LE CLOS DE MÉLANIE;Restaurant;Restaurant gastronomique - cuisine raffinée;;1 Route de la Brière;Le Calvaire;44160;;;PONTCHATEAU;44129;47.4424;-2.13431;;;02 40 88 08 39;02 40 88 08 39;jl.prier@orange.fr;http://www.leclosdemelanie.com;;;;;Guide du Routard Pays de la Loire;;;oui;De petite taille;;Service en terrasse;120;;;;;;Anglais;oui;;120;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant,Virement;47.4424, -2.13431;Loire-Atlantique
LE CLUB DE L'ETOILE;Restaurant;Brasserie;;Esplanade François André;Face au Casino de la Baule;44500;;;LA BAULE-ESCOUBLAC;44055;47.28149;-2.40138;;;02 40 24 44 81;;laplage@clubdeletoile.com;;;;;;;;;oui;;;Service en terrasse;40;;40;;;;Anglais;oui;;40;;01/01/2021||31/12/2021||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||;;;;;Cartes bancaires,Espèces;47.28149, -2.40138;Loire-Atlantique
LE CLUB DES LÉOPARDS : LÉO'BAR;Restaurant;Restauration rapide;;28 boulevard de l'Océan;;44500;;;LA BAULE-ESCOUBLAC;44055;47.27865;-2.37331;;;02 40 11 13 07;;clubdesleopards@free.fr;;;;;;;;;;;;;;;;;;;;;;;;"01/01/2022||31/12/2022|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2023||31/12/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;;47.27865, -2.37331;Loire-Atlantique
LE COMPTOIR GALI;Restaurant;Cuisine traditionnelle;;23 Quai Leray;;44210;;;PORNIC;44131;47.1149;-2.10126;;06 58 82 79 32;02 51 18 16 40;;contact@lecomptoirgali.fr;http://lecomptoirgali.fr;;;;;;;;oui;;;WiFi;50;1;34;;;;;oui;;50;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.1149, -2.10126;Loire-Atlantique
LE DIABLE ROUGE - FOODTRUCK;Restaurant;Restauration rapide;;Avenue François Mitterrand;;44600;;;SAINT-NAZAIRE;44184;47.26957;-2.22759;"Transport en commun||Ligne U2 - Arrêt Soucoupe||0,13 ; Transport en commun||Ligne U1 - Arrêt Plaisance Berlioz||0,55 ; Transport en commun||Ligne Hélyce - Arrêt Plaisance Coubertin||0,55 ; Transport en commun||Ligne U3 - Arrêt Saint Louis||0,65";06 52 53 64 54;;;contact@lediablerouge.com;https://www.lediablerouge.com/;;Facebook||https://fr-fr.facebook.com/lediablerouge2017/;;;;;;;;;Plats à emporter,Plats à emporter / Covid-19;;;;;;;;;;;oui;01/01/2023||31/12/2023||||||||||||||||||16:00||21:00||10:00||||||21:00||||||||||||||||||||||||||||||||;;non;||||||06 52 53 64 54||contact@lediablerouge.com;;;47.26957, -2.22759;Loire-Atlantique
LE FOUQUET'S;Restaurant;Brasserie;;6 avenue Pierre Loti;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28201;-2.4052;;;02 40 11 48 48;02 40 11 48 45;reception-royallabaule@groupebarriere.com;http://www.leroyal-labaule.com;;;;;Bottin Gourmand,Champerard,Gault Millau,Michelin,Pudlowski;;;non;;;Séminaire,Service en terrasse,WiFi;100;;50;2;;;Allemand,Anglais,Espagnol,Russe;oui;;80;;"01/01/2022||31/12/2022||jusqu'à 22h00 le vendredi et le samedi||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30|||| ; 01/01/2023||31/12/2023||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||||19:30||21:30||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.28201, -2.4052;Loire-Atlantique
LE FRENCHY BVT;Restaurant;Restauration rapide;4 PLACE ST SIMON;;;44140;;;MONTBERT;44102;47.05555;-1.48769;"Aéroport/aérodrome||Nantes Atlantique||25 ; Autoroute||A83||20 ; Gare routière||Nantes Sud ||25";;09 81 36 98 68;;lefrenchybvt@gmail.com;;;;;;;;;;;;Plats à emporter;;1;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert du mardi au dimanche ||Fermé le lundi ||||||||||||||||||||||||||||||||||||||||||||||||||||||||;vcbxw||09 81 36 98 68||Lefrenchybvt@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.05555, -1.48769;Loire-Atlantique
LE GRAPPILLON;Restaurant;Cuisine du Monde;4 rue Kléber;;;44000;;;NANTES;44109;47.2239586;-1.5408058;;;02 51 84 27 95;;;;;;;;Le petit futé;;;non;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse;18;2;16;;0;;Anglais,Français;oui;6;12;non;;||02 51 84 27 95||;;;Menu adulte soir et week-end||||35,00||;Cartes bancaires,Espèces;47.2239586, -1.5408058;Loire-Atlantique
LE LR;Restaurant;;;25, avenue de Villès Babin;;44380;;;PORNICHET;44132;47.24846;-2.31876;;;02 40 15 71 82;;lelr44@hotmail.com;http://www.restaurant-lelr.com;;;;;;;;oui;;;WiFi;42;;10;;;;Anglais,Espagnol;oui;;30;;01/03/2022||01/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Menu enfant||8,50|||| ; Menu adulte du jour (midi en semaine)||12,00||||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.24846, -2.31876;Loire-Atlantique
LE MAHARAJAH;Restaurant;Cuisine du Monde;;7 avenue de la Vielle Ville;;44600;;;SAINT-NAZAIRE;44184;47.2722536;-2.2007677;"Transport en commun||Ligne Hélyce - Arrêt: Rue de la paix||0,12 ; Gare SNCF||||2,8";;02 40 42 33 59;;lemaharajah44@hotmail.fr;http://www.maharajah44.fr;;;;;Le petit futé;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,Séminaire,Traiteur,WiFi;85;;40;1;;;Anglais,Français;oui;;50;oui;01/01/2023||31/12/2023||Ouvert du mardi au dimanche||Fermé le lundi||||||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30;||02 40 42 33 59||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.2722536, -2.2007677;Loire-Atlantique
RESTAURANT LA CRIÉE;Restaurant;Brasserie;;10 Quai du Lénigo;;44490;;;LE CROISIC;44049;47.29746;-2.5146;;06 48 35 55 10;02 40 62 91 72;;restaurantlacriee@gmail.com;http://www.creperiedelacriee.com;;;;;;;;oui;;;;30;;;;;;;oui;;30;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.29746, -2.5146;Loire-Atlantique
RESTAURANT LA CROISETTE;Restaurant;Brasserie;;31 place du Maréchal Leclerc;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28267;-2.39246;;;02 40 60 73 00;;brasseriemaritime@gmail.com;http://www.lacroisette-brasserie.com;;;;;Champerard,Le petit futé;;;oui;;;Séminaire,Service en terrasse,WiFi;130;1;150;1;;;;oui;;130;;01/01/2023||31/12/2023||||||10:00||22:30||||||10:00||22:30||||||10:00||22:30||||||10:00||22:30||||||10:00||22:30||||||10:00||22:30||||||10:00||22:30||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.28267, -2.39246;Loire-Atlantique
RESTAURANT LA DOLCEZZA;Restaurant;Pizzeria;;136 rue Georges Clémenceau;;44150;;;ANCENIS-SAINT-GEREON;44003;47.3672721;-1.1783841;"Gare SNCF||Gare d'Ancenis||0,24 ; Route (nationale/départ.)||RD723||1";;02 40 83 12 25;;francois.porcheron2@orange.fr;http://www.pizzeria-dolcezza.fr;;"Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1051955-d1334125-Reviews-La_Dolcezza-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html ; Facebook||https://www.facebook.com/PizzeriaDolcezza ; Instagram||https://www.instagram.com/pizzeria_dolcezza/?igshid=1evqx9tal8xno&fbclid=IwAR2mus0GTn0PWylBbzCwtlwTAuWDId2TjBy51JtLG1OgUdvjxM72o29-VSA";"<div id=""TA_selfserveprop708"" class=""TA_selfserveprop"">;<ul id=""2K47RuQZ1"" class=""TA_links NKl8VgqlUoWC"">;<li id=""XnacwRvf6y0"" class=""vhFlm66sF"">;<a target=""_blank"" href=""http://www.tripadvisor.fr/""><img src=""http://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=708&amp;locationId=1334125&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";;Le petit futé;;;oui;;;Plats à emporter,Plats à emporter / Covid-19;54;2;20;;2;;;oui;;20;non;||||Ouvert le mardi de 11h45 à 13h45, le jeudi de 17h à 19h, le vendredi de 11h45 à 13h45  et de 17h à 19h et le samedi de 17h à 19h.||Fermé le dimanche, lundi et mercredi.||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.3672721, -1.1783841;Loire-Atlantique
RESTAURANT LA HAUTE FORÊT;Hôtel restaurant;;;53 boulevard de l'Europe;;44120;;;VERTOU;44215;47.1700151;-1.4670984;;;02 40 34 01 74;;;http://www.hotel-vertou.com;;;;;;Hôtel Essentiel,Restaurant de terroir;;;;Logis;;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.1700151, -1.4670984;Loire-Atlantique
RESTAURANT LA JOIE;Restaurant;Cuisine traditionnelle;;;;44850;;;LE CELLIER;44028;47.3424991;-1.3467464;Route (nationale/départ.)||RD723||0;;02 40 25 40 33;;restaurantlajoie@orange.fr;http://www.restaurant-traiteur-lajoie.com;;;;;;;;non;;;Banquet,Plats à emporter / Covid-19,Séminaire,Traiteur;100;;60;;;;Anglais,Français;oui;;;;||||Ouvert le WE sur réservation (traiteur).||||07:00||15:30||||||07:00||15:30||||||07:00||15:30||||||07:00||15:30||||||07:00||15:30||||||||||||||||||||;||02 40 25 40 33||restaurantlajoie@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.3424991, -1.3467464;Loire-Atlantique
RESTAURANT LA PIZZERIA;Restaurant;Pizzeria;;Centre Commercial Montaigne;;44150;;;ANCENIS-SAINT-GEREON;44003;47.3703696;-1.1900979;"Gare SNCF||Gare d'Ancenis||1 ; Route (nationale/départ.)||RD723||0,3";;02 40 83 21 24;;;;;;;;;;;oui;;;Banquet,WiFi;80;3;25;3;3;;Anglais,Français;oui;;;oui;||||||Fermé le samedi midi.||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 83 21 24||;;;;Cartes bancaires,Chèques Vacances;47.3703696, -1.1900979;Loire-Atlantique
RESTAURANT LA SABLIERE;Restaurant;Cuisine traditionnelle;;153 Route de la Loire;La Chapelle-Basse-Mer;44450;;;DIVATTE-SUR-LOIRE;44029;47.2816182;-1.3851909;;;02 40 06 37 71;;;http://www.restaurant-la-sabliere.com/;;;;;;;;non;;;Banquet;55;2;;;;;Anglais;;;55;oui;;;;;;;47.2816182, -1.3851909;Loire-Atlantique
RESTAURANT LA TABLE A LOULOU;Restaurant;Cuisine traditionnelle;;2 rue de la Fontaine Grillée;;44690;;;LA HAIE-FOUASSIERE;44070;47.1692645;-1.3932476;;;02 28 03 14 04;;latablealoulou@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1692645, -1.3932476;Loire-Atlantique
RESTAURANT LA TOUR MERMOZ;Restaurant;Brasserie;;250 Rue Jean Mermoz;;44150;;;ANCENIS-SAINT-GEREON;44003;47.4080109;-1.186326;Aéroport/aérodrome||sortie autoroute A11||;07 84 10 05 66;02 40 83 77 77;;latourmermoz@hotmail.com;;;"Facebook||https://www.facebook.com/La-Tour-Mermoz-317628608928906/ ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1051955-d8154651-Reviews-La_Tour_Mermoz-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html";"<div id=""TA_selfserveprop427"" class=""TA_selfserveprop"">;<ul id=""cZqBgPlao"" class=""TA_links UbAcQJD"">;<li id=""zYE5IH9A"" class=""qgghVepflqTV"">;<a target=""_blank"" href=""http://www.tripadvisor.fr/""><img src=""http://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=427&amp;locationId=8154651&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";;;;;;;;Plats à emporter,Plats à emporter / Covid-19,WiFi;80;1;30;;;;;;;;oui;||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||22:00||||||19:00||22:00||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.4080109, -1.186326;Loire-Atlantique
RESTAURANT LA VILLA;Restaurant;Brasserie;;18 avenue du Général de Gaulle;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28244;-2.39209;;;02 40 23 06 00;;com@brasserie-labaule.fr;http://www.lavilla-labaule.com;;;;;;;;oui;;;Service en terrasse,WiFi;180;;50;;;;Anglais,Espagnol;oui;;180;;01/01/2022||31/12/2022||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.28244, -2.39209;Loire-Atlantique
RESTAURANT LE CAFÉ DU NORD;Restaurant;Cuisine traditionnelle;;2 Place André Mazureau;;44440;;;JOUE-SUR-ERDRE;44077;47.49469;-1.420155;;;09 54 70 56 29;;restaurantlecafedunord@gmail.com;;;Facebook||https://www.facebook.com/RestoCafeduNord;;;;;;;;;Plats à emporter,Plats à emporter / Covid-19;35;1;;;;;;;;;oui;||||||||08:00||15:45||||||08:00||15:45||||||08:00||15:45||||||08:00||15:45||||||08:00||21:00||||||||||||||12:00||15:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.49469, -1.420155;Loire-Atlantique
RESTAURANT LE CANAL;Restaurant;Cuisine traditionnelle;;Bout de Bois;;44810;;;HERIC;44073;47.4528293;-1.6375164;;;02 52 10 13 22;;;;;Facebook||https://fr-fr.facebook.com/pages/Le-Canal/592365567441553;;;Guide des Relais Routiers;;;oui;;;Service en terrasse,WiFi;80;3;20;;;;Anglais,Français;oui;20;60;oui;;Marais Bruno||02 52 10 13 22||br.maraisbdb@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.4528293, -1.6375164;Loire-Atlantique
RESTAURANT LE CHALET GRILL;Restaurant;Cuisine traditionnelle;;4 Rue Henri Farman;;44360;;;VIGNEUX-DE-BRETAGNE;44217;47.2995378;-1.7504828;;;02 40 57 11 74;;;;;"Tripadvisor||http://www.tripadvisor.fr/Restaurants-g1080881-Vigneux_de_Bretagne_Loire_Atlantique_Pays_de_la_Loire.html ; Facebook||https://www.facebook.com/Le-Chalet-Vigneux-De-Bretagne-585847064896477/";http://www.tripadvisor.fr/Restaurants-g1080881-Vigneux_de_Bretagne_Loire_Atlantique_Pays_de_la_Loire.html;;;;;oui;;;Service en terrasse;65;1;70;;;;;oui;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux;47.2995378, -1.7504828;Loire-Atlantique
RESTAURANT LE PETIT ROBINSON;Restaurant;Cuisine traditionnelle;;9 rue de Rennes;;44590;;;DERVAL;44051;47.6677724;-1.672133;;;09 50 68 40 51;;lepetitrobinson@outlook.com;;;;;;;;;;;;Plats à emporter,Service en terrasse;40;1;;;;;Anglais,Français;oui;;;oui;||||||fermé le dimanche, mercredi et samedi après 16h||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Michaël Bernard||02 40 07 65 29||lepetitrobinson@yahoo.fr;;;"Menu adulte du jour (midi en semaine)||10,50||11,90||FORMULES MIDI A 10 EUROS ENTREE+PLAT OU PLAT+ DESSERT OU A 11 EUROS 50 ENTREE+PLAT+DESSERT ET PLAT DU JOUR A 8,50.;POSSIBILITE DE MENUS POUR GROUPE.";Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.6677724, -1.672133;Loire-Atlantique
RESTAURANT LE RUBAN BLEU;Restaurant;Cuisine traditionnelle;;2 avenue de la Noue;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28055;-2.40806;;;02 40 60 24 86;02 40 42 03 13;h5692@accor.com;http://www.hotelmercure-labaule.com;;;;;Gault Millau,Michelin;;;non;;;Séminaire,WiFi;90;;;2;;;Anglais,Espagnol;oui;;150;;01/01/2022||31/12/2022||||||12:30||14:00||19:30||21:30||12:30||14:00||19:30||21:30||12:30||14:00||19:30||21:30||12:30||14:00||19:30||21:30||12:30||14:00||19:30||21:30||12:30||14:00||19:30||21:30||12:30||14:00||19:30||21:30;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.28055, -2.40806;Loire-Atlantique
RESTAURANT LE SAINT-AUBIN;Restaurant;Cuisine traditionnelle;;3 rue de Châteaubriant;;44110;;;SAINT AUBIN DES CHATEAUX;44036;47.7200689;-1.4849322;;;02 40 28 40 41;;;;;;;;;;;oui;;;;40;;;;;;;;;;;;||02 40 28 40 41||;;;Menu adulte du jour (midi en semaine)||12,50||||;Cartes bancaires;47.7200689, -1.4849322;Loire-Atlantique
RESTAURANT LES CHAMPS D'AVAUX;Hôtel restaurant;Cuisine traditionnelle;;Route de Nantes;;44830;;;BOUAYE;44018;47.1774647;-1.7051166;;;02 40 65 43 50;;;https://www.champsdavaux.com;;;;;;;;oui;;Vignobles et découvertes;Plats à emporter,Séminaire,Service en terrasse,WiFi;130;3;25;9;3;;Anglais,Espagnol,Français;oui;8;130;non;;;oui;||http://www.nantes-tourisme.com/book/382402||||||;"Menu adulte du jour (midi en semaine)||||||Menu du Marché 2 ou 3 plats ; Menu adulte soir et week-end||||||Menus Plaisirs";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.1774647, -1.7051166;Loire-Atlantique
RESTAURANT LES CUISINES DE MARIE;Restaurant;Cuisine traditionnelle;;4 bd St-Laurent;;44390;;;PETIT-MARS;44122;47.3961078;-1.4551406;;;02 40 72 72 76;;lescuisinesdemarie.jb@gmail.com;;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g187192-d2049296-Reviews-Les_Cuisines_de_Marie-Pays_de_la_Loire.html;;;Le petit futé;;;oui;petite taille;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;90;2;12;1;;;Anglais,Français;oui;20;50;oui;;LEBASTARD NELLY||02 40 72 72 76||lescuisinesdemarie.jb@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.3961078, -1.4551406;Loire-Atlantique
RESTAURANT LES TERRASSES;Restaurant;Brasserie;;10 Avenue Gustave Flaubert;près du bowling et du centre aquatique;44350;;;GUERANDE;44069;47.32571;-2.4169;;07 55 67 37 39;;;lesterrasses.guerande@gmail.com;http://www.restaurant-lesterrasses.fr;;;;;;;;;;;Séminaire,Service en terrasse;130;;30;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.32571, -2.4169;Loire-Atlantique
RESTAURANT POLLEN;Restaurant;Cuisine traditionnelle;;3 place du minage;;44190;;;CLISSON;44043;47.0869178;-1.2816541;Gare SNCF||Clisson||0,5;;06 88 03 06 19;;pollen.clisson@gmail.com;https://www.pollen-clisson.com/;;Facebook||https://www.facebook.com/pg/pollenclisson;;;Les Tables de Nantes;;;oui;Et bienvenus!;;Plats à emporter,Service en terrasse;16;1;12;0;0;;Anglais,Espagnol;non;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.0869178, -1.2816541;Loire-Atlantique
RESTAURANT PRESS'POMME;Restaurant;Cuisine traditionnelle;;5 Rue St Michel;;44360;;;VIGNEUX-DE-BRETAGNE;44217;47.3265402;-1.740733;;;02 40 57 10 62;;;;;"Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1080881-d1338811-Reviews-Restaurant_Press_Pomme-Vigneux_de_Bretagne_Loire_Atlantique_Pays_de_la_Loire.html ; Facebook||https://www.facebook.com/presspomme/ ; Instagram||https://www.instagram.com/press.pomme/?hl=frle%20pigron%20blanc";https://www.tripadvisor.fr/Restaurant_Review-g1080881-d1338811-Reviews-Restaurant_Press_Pomme-Vigneux_de_Bretagne_Loire_Atlantique_Pays_de_la_Loire.html;;;;;oui;;;Traiteur;50;1;30;;;;Anglais,Français;oui;;50;oui;;Mme brigitte floch'h boisneau  ||02 40 57 10 62||;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.3265402, -1.740733;Loire-Atlantique
RESTAURANT TRI KAOUENN;Restaurant;Cuisine traditionnelle;;5 Rue des Myosotis - Route de Sucé;;44390;;;CASSON;44027;47.3794255;-1.5589274;;;02 40 77 64 86;;;;;"Facebook||https://www.facebook.com/Le-Tri-Kaouenn-711476329025257 ; Instagram||https://www.instagram.com/explore/locations/711476329025257/le-tri-kaouenn/";;;;;;oui;;;;60;1;;;;;Français;;;60;oui;;Tri kaouenn||02 40 77 64 86||;;;;Cartes bancaires,Chèques bancaires et postaux;47.3794255, -1.5589274;Loire-Atlantique
